Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Run ,40:31:00,Rachota Project,Project,,,,Debugging,Mouse,Eclipse,,removed all rachota tasks
Run ,41:15:00,Rachota Project,Project,,,,Debugging,Mouse,Eclipse,,Bug not resolved
Delete Code,41:40:00,,,HistoryView,,,Edit Code,Keyboard,Java Editor,,Previousely written code
Scan,41:41:00,HistoryView(),Method,HistoryView,,,Navigation,,Java Editor,,
View Javadoc,41:44:00,tbTasks,Field,HistoryView,,,Navigation,Mouse,Java Editor,Mouse hover,no javadoc
Quick Outline,41:58:00,HistoryView,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Show Field,42:15:00,tpViews,Field,HistoryView,,Class Contains Field,Navigation,Mouse,Java Editor,via Quick Outline,
Find,42:23:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Find,42:24:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,42:25:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,42:30:00,HistoryView(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,42:51:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Find,42:51:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,42:52:00,HistoryView(),Method,HistoryView,,,Navigation,,Java Editor,,
Edit Code,43:02:00,,,HistoryView,,,Edit Code,Keyboard,Java Editor,,added FocusListener to pnTasks
Run ,43:34:00,Rachota Project,Project,,,,Debugging,Mouse,Eclipse,,Bug not resolved
Delete Code,44:17:00,,,HistoryView,,,Edit Code,Keyboard,Java Editor,,Previousely written code
Edit Code,44:26:00,,,HistoryView,,,Edit Code,Keyboard,Java Editor,,no changes in code
Find,44:36:00,“tpView.add”,String,HistoryView,,,Navigation,Keyboard,Find Dialog,Ctrl+F,
Find,44:37:00,“tpView.add”,String,HistoryView,,,Navigation,Keyboard,Find Dialog,Enter,
Find,44:38:00,“tpView.add”,String,HistoryView,,,Navigation,Keyboard,Find Dialog,Enter,
Find,44:39:00,“tpView.add”,String,HistoryView,,,Navigation,Keyboard,Find Dialog,Enter,
Find,44:40:00,“tpView.add”,String,HistoryView,,,Navigation,Keyboard,Find Dialog,Enter,
Find,44:41:00,“tpView.add”,String,HistoryView,,,Navigation,Keyboard,Find Dialog,Ctrl+F,
Scan,44:47:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,44:48:00,“tpView.add”,String,HistoryView,,,Navigation,Keyboard,Find Dialog,Ctrl+F,
Find,44:49:00,“tpView.add”,String,HistoryView,,,Navigation,Keyboard,Find Dialog,Ctrl+F,
Scan,44:50:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:03:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:04:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:05:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:06:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:07:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:08:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:09:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:10:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:11:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:12:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,45:13:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,45:15:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:19:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,45:20:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:24:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,45:24:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:26:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,45:26:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:28:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,45:28:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:32:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,45:32:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:36:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,45:36:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:39:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,45:39:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:41:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Scan,45:41:00,initComponents(),Method,HistoryView,,,Navigation,,Java Editor,,
Find,45:43:00,„pnTasks“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Show Method,45:54:00,ptForwardActionPerformed(),Method,HistoryView,,Class Contains Method,Navigation,Mouse,Package Explorer,via Package Explorer,
Scan,45:54:00,ptForwardActionPerformed(),Method,HistoryView,,,Navigation,,Java Editor,,
Open Declaration,45:59:00,cmbPeriodItemStateChanged(),Method,HistoryView,,Declaration,Navigation,Keyboard,Java Editor,F3,
Scan,46:00:00,cmbPeriodItemStateChanged(),Method,HistoryView,,,Navigation,,Java Editor,,
Open Declaration,46:23:00,updateTotalTime(),Method,HistoryView,,Declaration,Navigation,Keyboard,Java Editor,F3,
Back,46:27:00,,,,,,Navigation,Mouse,Eclipse,,
Scan,46:28:00,cmbPeriodItemStateChanged(),Method,HistoryView,,,Navigation,,Java Editor,,
Copy Code,46:36:00,,,HistoryView,cmbPeriodItemStateChanged(),,Edit Code,Keyboard,Java Editor,Ctrl+C,
Show Class,46:59:00,HistoryView,,,,,Navigation,Mouse,Package Explorer,via Package Explorer,
Edit Code,47:09:00,,,HistoryView,,,Edit Code,Keyboard,Java Editor,,added FocusListener to HistoryView and pasted code in it
Set Breakpoint,47:39:00,,,HistoryView.<Anonymous FocusListener>,focusGained(),,Debugging,Mouse,Java Editor,,
Debug,47:42:00,,,,,,Debugging,Mouse,Eclipse,,Breakpoint was not met
Delete Code,48:13:00,,,HistoryView,,,Edit Code,Keyboard,Java Editor,,Previousely written code
Show Field,48:50:00,pnTasks,Field,HistoryView,,Class Contains Field,Navigation,Mouse,Package Explorer,via Package Explorer,
Find,49:03:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Find,49:04:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,49:05:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,49:06:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,49:07:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,49:08:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Edit Code,49:09:00,,,HistoryView,,,Edit Code,Keyboard,Java Editor,,no changes in code
View Tooltip Description,49:34:00,tpView,Field,,,,Navigation,Keyboard,Java Editor,F2,
Find,50:14:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Find,50:17:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,50:18:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,50:19:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,50:20:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,50:21:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,50:22:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,50:23:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,50:24:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Find,50:25:00,„changelistener“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Enter,
Show Field,50:35:00,pnTasks,Field,HistoryView,,Class Contains Field,Navigation,Mouse,Package Explorer,via Package Explorer,
Find,50:38:00,„tpViews“,String,,,File Content Matches String,Navigation,Keyboard,Find Dialog,Ctrl+F,
Edit Code,50:44:00,,,HistoryView,,,Edit Code,Keyboard,Java Editor,,added ChangeListener to tpViews and pasted code in it
Run ,51:31:00,Rachota Project,Project,,,,Debugging,Mouse,Eclipse,,
Terminate Execution,51:45:00,,,,,,Debugging,,Eclipse,,canceled execution after it took to long
Edit Code,51:55:00,,,HistoryView.<Anonymous ChangeListener>,stateChanged,,Edit Code,Keyboard,Java Editor,,added condition to ChangeListener
Run ,52:11:00,Rachota Project,Project,,,,Debugging,Mouse,Eclipse,,ClassCastExceptio
Show Instruction,52:21:00,,Instruction,HistoryView,HistoryView(),,Navigation,Mouse,Debug Window,via Stacktrace,
Show Instruction,52:28:00,,Instruction,HistoryView,HistoryView(),,Navigation,Mouse,Debug Window,via Stacktrace,
Show Instruction,52:31:00,,Instruction,HistoryView,HistoryView(),,Navigation,Mouse,Debug Window,via Stacktrace,
Show Instruction,52:40:00,,Instruction,HistoryView,HistoryView(),,Navigation,Mouse,Debug Window,via Stacktrace,
Show Class,53:14:00,<Anonymous ChangeListener>,Class,HistoryView,,,Navigation,Mouse,Package Explorer,via Package Explorer,
Move Code,53:25:00,,,HistoryView,,,Edit Code,Keyboard,Java Editor,,Previousely written code to the end of the method – where the object is initialized
Run ,53:47:00,Rachota Project,Project,,,,Debugging,Mouse,Eclipse,,Bug resolved!
Run ,54:13:00,Rachota Project,Project,,,,Debugging,Mouse,Eclipse,,Verify 2nd time
Deactivate Mylyn Task,54:41:00,,,,,,,Mouse,Mylyn Window,,
