Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Step Over,51:42,,Instruction,PasswortSafeJFace,restoreSelectedItem,,Debugging,Mouse,Java Editor,,
Step Into,51:46,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,51:48,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Scan,51:48,,Stacktrace,,,,Navigation,,Debug Window,,
Resume,51:56,,Instruction,,,,Debugging,Mouse,Eclipse,,
Collapse,52:03,this,Object,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,,
Show Variable,52:04,isLocked,Variable,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,WAHR,
Resume,52:05,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,52:10,setLocked,Method,PasswordSafeJFace,,,Navigation,,Java Editor,,
Quick Outline,52:35,PasswortSafeJFace,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Scan,52:35,PasswortSafeJFace,Class,,,,Navigation,,Quick Outline PopUp,,
Show Method,52:48,updateViewers,Method,PasswortSafeJFace,,Class Contains Method,Navigation,Mouse,Java Editor,via Quick Outline,
Scan,52:48,updateViewers,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Quick Outline,52:55,PasswortSafeJFace,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Scan,52:55,PasswortSafeJFace,Class,,,,Navigation,,Quick Outline PopUp,,
Hit Breakpoint,53:19,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Show Instruction,53:22,,Instruction,UnlockDbAction,performUnlock,Stacktrace,Navigation,Mouse,Debug Window,Click on Stacktrace,
Scan,53:22,performUnlock,Method,UnlockDbAction,,,Navigation,,Java Editor,,
View Javadoc,53:36,setLocked,Method,PasswortSafeJFace,,,Navigation,Mouse,Java Editor,Mouse hover,
Show Instruction,53:38,,Instruction,PasswortSafeJFace,setLocked,Stacktrace,Navigation,Mouse,Debug Window,Click on Stacktrace,
Step Into,53:46,,Instruction,PasswortSafeJFace,isTreeViewShowing,,Debugging,Mouse,Java Editor,,
Scan,53:46,isTreeViewShowing,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Expand,53:54,this,Object,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,,
Step Return,53:46,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Scan,53:46,setLocked,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Step Over,54:08,,Instruction,PasswortSafeJFace,setlocked,,Debugging,Mouse,Java Editor,,
Step Over,54:11,,Instruction,PasswortSafeJFace,setlocked,,Debugging,Mouse,Java Editor,,
Step Into,54:15,,Instruction,PasswortSafeJFace,restoreSelectedItem,,Debugging,Mouse,Java Editor,,
Step Over,54:19,,Instruction,PasswortSafeJFace,restoreSelectedItem,,Debugging,Mouse,Java Editor,,
Resume,54:22,,Instruction,,,,Debugging,Mouse,Eclipse,,
Resume,54:25,,Instruction,,,,Debugging,Mouse,Eclipse,,
Show Declaration,54:30,restoreSelectedItem,Method,PasswortSafeJFace,,Method Declaration,Navigation,Both,Java Editor,Ctrl+Click on Method,
Show Declaration,54:31,setSelectedRecord,Method,PasswortSafeJFace,,Method Declaration,Navigation,Both,Java Editor,Ctrl+Click on Method,
Edit Code,54:37,,Instructions,PasswortSafeJFace,setSelectedRecord,,Edit Code,Keyboard,Java Editor,negated condition,
Hit Breakpoint,54:53,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,54:54,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,54:59,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,55:01,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,55:07,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,55:08,,Instruction,,,,Debugging,Mouse,Eclipse,wrong item gets selected,
Show Declaration,55:18,restoreSelectedItem,Method,PasswortSafeJFace,,Method Declaration,Navigation,Both,Java Editor,Ctrl+Click on Method,
Show Declaration,55:21,setSelectedRecord,Method,PasswortSafeJFace,,Method Declaration,Navigation,Both,Java Editor,Ctrl+Click on Method,
Set Breakpoint,55:30,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Hit Breakpoint,55:38,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Remove Breakpoint ,55:40,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Resume,55:43,,Instruction,,,,Debugging,Mouse,Eclipse,wrong item gets selected,
Hit Breakpoint,55:48,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,,
Step Over,55:52,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,55:53,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,55:54,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,55:55,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,55:56,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,55:57,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,55:58,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,55:59,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:00,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:01,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:02,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:03,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:04,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:05,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:06,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:07,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:08,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:09,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:10,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,56:11,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Show Local Variable,56:11,I,Local Variable,PasswortSafeJFace,setselectedRecord,,Debugging,Mouse,Variables Window,6,
Resume,56:12,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,56:16,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,,
Resume,56:20,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,56:20,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,A ,
Set Breakpoint,56:25,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,B ,
Remove Breakpoint ,56:27,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,A ,
Resume,56:28,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,56:28,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,B ,
Resume,56:31,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,56:38,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,B ,
Resume,56:38,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,56:38,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,B ,
Resume,56:40,,Instruction,,,,Debugging,Mouse,Eclipse,wrong item gets selected,
Hit Breakpoint,56:53,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,B ,
Resume,56:55,,Instruction,,,,Debugging,Mouse,Eclipse,wrong item gets selected,
Remove Breakpoint ,57:01,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,B ,
Set Breakpoint,57:57,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,C ,
Hit Breakpoint,58:02,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Show Local Variable,58:05,bean,Local Variable,PasswortSafeJFace,setselectedRecord,,Debugging,Mouse,Variables Window,PwsEntryBean 3:... (not null),
Resume,58:14,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,58:20,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Resume,58:21,,Instruction,,,,Debugging,Mouse,Eclipse,wrong item gets selected,
Hit Breakpoint,58:31,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Resume,58:34,,Instruction,,,,Debugging,Mouse,Eclipse,wrong item gets selected,
Hit Breakpoint,58:44,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Resume,58:46,,Instruction,,,,Debugging,Mouse,Eclipse,wrong item gets selected,
Hit Breakpoint,59:09,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Set Breakpoint,59:15,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,D ,
Resume,59:18,,Instruction,,,,Debugging,Mouse,Eclipse,wrong item gets selected,
Hit Breakpoint,59:18,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,D ,
Show Local Variable,59:18,bean,Local Variable,PasswortSafeJFace,setselectedRecord,,Debugging,Mouse,Variables Window,PwsEntryBean 3:... (not null),
Resume,59:26,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,59:33,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Resume,59:35,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,59:35,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,D ,
Resume,59:37,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,00:03,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Show Local Variable,00:03,bean,Local Variable,PasswortSafeJFace,setselectedRecord,,Debugging,Mouse,Variables Window,PwsEntryBean 3:... (not null),
Resume,00:09,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,00:09,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,D ,
Resume,00:12,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,00:23,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Resume,00:24,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,00:24,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,D ,
Resume,00:29,,Instruction,,,,Debugging,Mouse,Eclipse,,
Set Breakpoint,01:14,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,E ,
Hit Breakpoint,01:23,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Resume,01:31,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,01:31,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,E ,
Show Local Variable,01:31,bean,Local Variable,PasswortSafeJFace,setselectedRecord,,Debugging,Mouse,Variables Window,PwsEntryBean 3:... (not null),
Show Local Variable,01:11,entry,Local Variable,PasswortSafeJFace,setselectedRecord,,Debugging,Mouse,Variables Window,PwsEntryBean 3:... (not null),
Resume,01:52,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,01:52,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,D ,
Resume,02:01,,Instruction,,,,Debugging,Mouse,Eclipse,,
Edit Code,02:32,,Instructions,PasswortSafeJFace,setSelectedRecord,,Edit Code,Keyboard,Java Editor,used TableItems to iterate,
Hit Breakpoint,03:48,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,,Java Editor,C ,
Step Over,03:51,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,03:51,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,03:51,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,03:53,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,03:54,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Expand,03:56,ti,Local Variable,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Variables Window,,
Scan,03:56,ti,Local Variable,PasswortSafeJFace,,,Navigation,,Variables Window,,
Step Over,04:13,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,,
Show Local Variable,04:16,entry,Local Variable,PasswortSafeJFace,setselectedRecord,,Debugging,Mouse,Variables Window,PwsEntryBean 3:... (not null),
Resume,04:20,,Instruction,,,,Debugging,Mouse,Eclipse,,
Remove Breakpoint ,04:25,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,E ,
Remove Breakpoint ,04:27,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,C ,
Remove Breakpoint ,04:29,,Instruction,PasswortSafeJFace,setSelectedRecord,,Debugging,Mouse,Java Editor,D ,
Resume,04:30,,Instruction,,,,Debugging,Mouse,Eclipse,right item selected!,
